,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
0,Titre de la notice,Rang,Titre de la pièce,Incipit non modernisé,Foliotation
128,[1530_Fleurtoutjoy_sn] Humbles Seigneurs et citoyens notables,lim n° I,Prologue de l’Acteur.,Humbles seigneurs et citoyens notables,A1v
127,[1530_Fleurtoutjoy_sn] Amys Lecteurs qui ce livre lisez,lim n° II,L’Acteur aux Lecteurs.,Amys lecteurs qui ce livre lisez,G7v
1,[1530_Fleurtoutjoy_sn] 001 Madame je vous donne salus,n° 001,Epistre premiere.,Madame je vous donne salus,"A2r, A2v, A3r"
2,[1530_Fleurtoutjoy_sn] 002 Il est certain qu’un jour de la sepmaine,n° 002,Balade.,Il est certain qu’un jour de la sepmaive [[sepmaine]],"A3r, A3v"
3,[1530_Fleurtoutjoy_sn] 003 Madame. N. jai entreprins descripre,n° 003,Epistre.,Madame. N. j’ai entreprins d’escripre,"A3v, A4r, A4v, A5r, A5v"
4,"[1530_Fleurtoutjoy_sn] 004 Par la terre, l’aer, ou la mer",n° 004,Lettre envoyée à une Dame.,"Par la terre, l’aer, ou la mer","A5v, A6r, A6v, A7r"
5,[1530_Fleurtoutjoy_sn] 005 Trescher Seigneur et singulier Amy,n° 005,Epistre à son Amy.,Trescher seigneur &amp; singulier amy,"A7v, A8r, A8v, B1r, B1v, B2r, B2v"
6,[1530_Fleurtoutjoy_sn] 006 Vostre maintien Dame de treshault pris,n° 006,Epistre amoureuse.,Vostre maintien dame de treshault pris,"B2v, B3r"
7,"[1530_Fleurtoutjoy_sn] 007 Sieur Du Hamel, salut, honneur, et joye",n° 007,Epistre.,"Sieur du hamel, salut, honneur, &amp; joye","B3r, B3v, B4r"
8,[1530_Fleurtoutjoy_sn] 008 Nagueres estant à part moy sans mot dire,n° 008,Aultre Epistre.,Nagueres estant a part moy sans mot dire,"B4r, B4v, B5r, B5v, B6r, B6v, B7r"
9,[1530_Fleurtoutjoy_sn] 009 Si j’eusse eu le loisir de parler,n° 009,Epistre.,Si j’eusse eu le loisir de parler,"B7r, B7v"
10,[1530_Fleurtoutjoy_sn] 010 Puis qu’ainsi est que nature a donné,n° 010,Aultre Epistre.,Puis qu’ainsi est que nature a donné,"B7v, B8r"
11,[1530_Fleurtoutjoy_sn] 011 Cueur trop plus dur que n’est marbre ou enclume,n° 011,Aultre Epistre.,Cueur trop plus dur que n’est marbre ou enclume,"B8r, B8v, C1r"
12,[1530_Fleurtoutjoy_sn] 012 Puis que le jour de mon depart arrive,n° 012,Pas de titre.,Puis que le jour de mon depart arrive,"C1v, C2r, C2v, C3r, C3v"
13,[1530_Fleurtoutjoy_sn] 013 Ung noble cueur qui veult estre amoureux,n° 013,Balade.,Ung noble cueur qui veult estre amoureux,"C3v, C4r"
14,[1530_Fleurtoutjoy_sn] 014 Cueur amoureux gentil corsage,n° 014,Balade.,Cueur amoureux gentil corsage,"C4r, C4v"
