,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
0,Titre de la notice,Rang,Titre de la pièce,Incipit non modernisé,Foliotation
146,[1554_TJI_Grou] 001 Un Cléricé du monstier d’un village,n° 001,Dixain.,Un Cléricé du Monstier d’un village,A1v
145,[1554_TJI_Grou] 002 Et pense tu (respondit le Curé),n° 002,Responce.,Et pense tu (respondit le Curé),A1v
144,[1554_TJI_Grou] 003 S’on nous laissoit noz jours en paix user,n° 003,Epigramme à Maistre Françoys Rabelais : par Clement Marot.,S’on nous laissoit noz jours en paix user,A2r
143,"[1554_TJI_Grou] 004 Au curé, ainsi comme il dit",n° 004,Du Curé. Imitation.,"Au curé, ainsi comme il dit",A2v
142,[1554_TJI_Grou] 005 Tant que voudras jette feu et fumée,n° 005,À Estienne Dolet.,Tant que voudras jetter [[jettes]]feu &amp; fumée,A2v
141,"[1554_TJI_Grou] 006 Ce nouvel an, François, où grace abonde",n° 006,Au Roy Françoys pour estrenes. C. M.,"Ce nouvel an, François, ou gracɇ abonde","A2v, A3r"
140,[1554_TJI_Grou] 007 Si le Roy seul sans aucun y commettre,n° 007,"Au Roy encores, pour estre remis en son estat.",Si le Roy seul sans aucun y commettre,"A3r, A3v"
139,[1554_TJI_Grou] 008 Me souvenant de tes graces divines,n° 008,C. Marot à L. D. D. F. L. Luy estant en Italie. Sonnet.,Me souvenant de tes graces divines,"A3v, A4r"
138,"[1554_TJI_Grou] 009 Frere Thibaud, pour souper en quaresme",n° 009,De frere Thibaud.,"Frere Thibaud, pour souper en quaresme",A4r
137,"[1554_TJI_Grou] 010 Le cours du ciel, qui domine icy bas",n° 010,De l’an 1544.,"Le cours du ciel, qui domine icy bas","A4r, A4v"
136,[1554_TJI_Grou] 011 Un Usurier à la teste pelée,n° 011,D’un Usurier.,Un usurier à la teste pelée,A4v
135,[1554_TJI_Grou] 012 Un Advocat jouoit contre sa Femme,n° 012,D’un Advocat jouant contre sa Femme &amp; de son Clerc.,Un advocat jouoit contre sa Femme,"A4v, A5r"
134,[1554_TJI_Grou] 013 Un Lieutenant vuidoit plus voluntiers,n° 013,Du Lieutenant de B.,Un lieutenant vuidoit plus voluntiers,"A5r, A5v"
133,[1554_TJI_Grou] 014 Le Moyne un jour jouant sus la riviere,n° 014,D’un Moyne & d’une Vieille.,Le Moyne un jour jouant sus la riviere,"A5v, A6r"
132,[1554_TJI_Grou] 015 T’esbahis tu dont point son ne sopire,n° 015,"D’un Orgueilleux emprisonné, pris du latin.",T’esbahis tu dont point son ne sopire,A6r
131,[1554_TJI_Grou] 016 Ces jours passez je fu chez la Normande,n° 016,D’Annette & Marguerite.,Ces jours passez je fu chez la Normande,"A6r, A6v"
130,[1554_TJI_Grou] 017 Veux tu vieille ridée entendre,n° 017,À une Vieille.,Veux tu vieille ridéɇ entendre,A6v
129,[1554_TJI_Grou] 018 Celuy qui dit bon ton tetin,n° 018,Du tetin de Cataut.,Celuy qui dit bon ton tetin,A6v
128,[1554_TJI_Grou] 019 Messire Jan confesseur de Fillettes,n° 019,De messire Jan confessant Janne la simple.,Messire Jan confesseur de fillettes,"A6v, A7r"
127,[1554_TJI_Grou] 020 Un Cordelier d’une assez bonne mise,n° 020,D’un Cordelier.,Un Cordelier d’unɇ assez bonne mise,"A7r, A7v"
126,[1554_TJI_Grou] 021 L’autre jour un Amant disoit,n° 021,D’un Amoureux &amp; de s’Amye.,L’autre jour un amant disoit,A7v
125,"[1554_TJI_Grou] 022 Ma Dame, je vous remercie",n° 022,"À une Dame de Piemont, qui refusa six escuz de Marot pour coucher avec elle &amp; en vouloit avoir dix.","Ma dame, je vous remercie","A7v, A8r"
124,[1554_TJI_Grou] 023 Nanny desplaist et cause grand soucy,n° 023,De Nanny.,Nanny desplaist & cause grand soucy,A8r
123,[1554_TJI_Grou] 024 Un ouy mal acompaigné,n° 024,D’un Ouy.,Un ouy mal acompaigné,"A8r, A8v"
122,[1554_TJI_Grou] 025 Pour tous souhaitz ne desire en ce monde,n° 025,Les souhaitz d’un Amoureux.,Pour tous souhaitz ne desirɇ en ce monde,A8v
121,[1554_TJI_Grou] 026 Un jour d’yver Robin tout esperdu,n° 026,De Robin &amp; Catin.,Un jour d’yver Robin tout esperdu,"A8v, B1r"
120,[1554_TJI_Grou] 027 L’heur ou malheur de vostre cognoissance,n° 027,À Anne.,L’heur ou malheur de vostre cognoissance,B1r
119,[1554_TJI_Grou] 028 Une Catin sans fraper à la porte,n° 028,D’une qui alla voir les Beaux Peres.,Une Catin sans fraper à la porte,B1r
118,[1554_TJI_Grou] 029 Comme un Escolier se jouet,n° 029,D’un Escolier & d’une Fillete.,Commɇ un escolier se jouet,B1v
117,[1554_TJI_Grou] 030 Quand je voy ma Maistresse,n° 030,De sa Maistresse.,Quand je voy ma maistresse,"B1v, B2r"
116,[1554_TJI_Grou] 031 notexte Pour le Perron de monsieur d’Anguien,n° 031,"Pour le Perron de monsieur d’Anguien, dont la superscription estoit telle. Pour le Perron d’un Chevalier qui ne se nomme point. II.",Le Chevalie [[Chevalier]] sans peur &amp; sans reproche,"B2r, B2v"
115,[1554_TJI_Grou] 032 Le Chevalier sans peur et sans reproche,n° 032,Pour le Perron d’un Chevalier qui ne se nomme point. II.,Le Chevalier sans peur et sans reproche,B2v
114,"[1554_TJI_Grou] 033 Vous Chevaliers errans, qui desirez honneur",n° 033,Pour le Perron de monsieur de Nevers. III.,"Vous chevaliers errans, qui desirez honneur",B2v
113,[1554_TJI_Grou] 034 C’est pour la souvenance d’une,n° 034,"Pour le Perron de monsieur d’Aumale, qui estoit semé des lettres. L. F.",C’est pour la souvenance d’une,"B2v, B3r"
112,[1554_TJI_Grou] 035 Le petit Pierre eut du juge option,n° 035,Du petit Pierre & de son proces en matiere de mariage.,Le petit Pierrɇ eut du jugɇ option,"B3r, B3v"
111,"[1554_TJI_Grou] 036 Si tu es pauvre, Anthoine, tu es bien",n° 036,À Anthoine.,"Si tu es pauvre, Anthoine, tu es bien",B3v
110,[1554_TJI_Grou] 037 N’a pas long temps fut fait une dispute,n° 037,Du loquet de la porte de s’Amye.,N’a pas long temps fut fait une dispute,B3v
109,"[1554_TJI_Grou] 038 Pourtant, s’ainsi bien reparée",n° 038,À une Vieille dorée. L. D.,"Pourtant, s’ainsi bien reparée",B4r
108,[1554_TJI_Grou] 039 Fiat au dos de ma requeste,n° 039,"À une Dame moins pudique que belle, par L. T.",Fiat au dos de ma requeste,"B4r, B4v"
107,[1554_TJI_Grou] 040 J’ay trop pensé pour bien le sçavoir dire,n° 040,De jouyr de s’Amye.,J’ay trop pensɇ pour bien le sçavoir dire,B4v
106,[1554_TJI_Grou] 041 Quelqu’un desirant estre Presbtre,n° 041,D’un qui vouloit estre Presbtre.,Quelqu’un desirant estre Presbtre,"B4v, B5r"
105,[1554_TJI_Grou] 042 Frere Colin confesseur de Nonnettes,n° 042,"De frere Colin, par M. G.",Frere Colin confesseur de Nonnettes,B5r
104,"[1554_TJI_Grou] 043 Un jour Amour, par grand aveuglement",n° 043,"Imitation d’un Embleme d’Alciat, par L. T.","Un jour Amour, par grand aveuglement","B5r, B5v"
103,[1554_TJI_Grou] 044 Quand je ne le te veux point faire,n° 044,"À une Layderon, par S. R.",Quand je ne le te veux point faire,B5v
102,[1554_TJI_Grou] 045 Alix qui son ventre portoit,n° 045,"D’une grosse Garce qui feignoit estre grosse d’enfant, par S. R.",Alix qui son ventre portoit,"B5v, B6r"
101,[1554_TJI_Grou] 046 Trois Femmes un jour disputoient,n° 046,"Du devis des Dames, par L. H.",Trois femmes un jour disputoient,B6r
100,[1554_TJI_Grou] 047 N’a pas long temps que je veiz Jaqueline,n° 047,"De D. Jaqueline, par C. C. C.",N’a pas long temps que je veiz Jaqueline,"B6r, B6v"
99,[1554_TJI_Grou] 048 Avec ma Dame un jour j’estois couché,n° 048,"Du malheur de nature, par M. G.",Avec ma Damɇ un jour j’estois couché,"B6v, B7r"
98,[1554_TJI_Grou] 049 Zeleucus fit à son païs la loy,n° 049,"De la justice &amp; pitié de Zeleucus, par J. B.",Zeleucus fit a son païs la loy,B7r
97,"[1554_TJI_Grou] 050 S’on ne mouroit qu’en guerre, ou par exces",n° 050,D’un Vieillard.,"S’on ne mouroit qu’en guerrɇ, ou par exces","B7r, B7v"
96,[1554_TJI_Grou] 051 Une Vieille un jour confessoit,n° 051,"De frere Jean & de la Veille, par M. G.",Une vieillɇ un jour confessoit,B7v
95,[1554_TJI_Grou] 052 Frere Lubin revenant de la queste,n° 052,"De frere Lubin, par L. I.",Frere Lubin revenant de la queste,"B7v, B8r"
94,[1554_TJI_Grou] 053 Quand on me dist que la petite Blonde,n° 054,D’Anne.,Quand on me dist que la petite blonde,"B8r, B8v"
93,[1554_TJI_Grou] 055 Anne à pourtrait un champ d’arbres floriz,n° 055,D’Anne encores par A. B.,Annɇ à pourtrait un champ d’arbres floriz,B8v
92,[1554_TJI_Grou] 056 Hazardeux pensent à leurs dix,n° 056,"Du songe d’une Femme, par A. B.",Hazardeux pensent à leurs dix,"B8v, C1r"
91,[1554_TJI_Grou] 057 Un jour Colin sa Collette aculla,n° 057,"De Colin, par G. C.",Un jour Colin sa collettɇ aculla,C1r
90,[1554_TJI_Grou] 058 C’est grand cas de ce maistre Moyne,n° 058,Du Moyne de Pantagruel. L.,C’est grand cas de ce maistre Moyne,C1r
89,[1554_TJI_Grou] 059 Une Chrestienne interroguoit la Femme,n° 059,Responce d’une Juïve à une Chrestienne touchant la circoncision.,Une Chrestiennɇ interroguoit la femme,"C1r, C1v"
88,[1554_TJI_Grou] 060 Monsieur s’en vint en masque deguisé,n° 060,"D’un Avocat & de sa femme, par P. C.",Monsieur s’en vint en masque deguisé,"C1v, C2r"
87,"[1554_TJI_Grou] 061 Un bon Mary, des meilleurs que l’on face",n° 061,"Autrement, par S. R.","Un bon mary, des meilleurs que l’on face",C2r
86,"[1554_TJI_Grou] 062 Assouvy suis, et ne me puis sufire",n° 062,"D’un qui ayme, par A. B.","Assouvy suis, & ne me puis sufire",C2r
85,[1554_TJI_Grou] 063 Je hay et ayme : en fuyant je poursuis,n° 063,"Du mesme, par l’Autheur susdit.",Je hay &amp; aymɇ : en fuyant je poursuis,"C2r, C2v"
84,[1554_TJI_Grou] 064 La volupté et douleur surmonter,n° 064,"De volupté & ignorance, par L. M. N.",La volupté & douleur surmonter,C2v
83,"[1554_TJI_Grou] 065 Vivons m’Amye, et nous aymons",n° 065,À une Amye.,"Vivons m’amyɇ, &amp; nous aymons","C2v, C3r"
82,[1554_TJI_Grou] 066 Je veux que m’amye soit telle,n° 066,Quelle doit estre une Amye.,Je veux que m’amye soit telle,"C3r, C3v"
81,[1554_TJI_Grou] 067 Je ne veux point pour mon plaisir,n° 067,"De ce mesme, par L. I.",Je ne veux point pour mon plaisir,C3v
80,[1554_TJI_Grou] 068 Un Amoureux une nuit impetra,n° 068,D’un Amoureux couard.,Un amoureux une nuit impetra,"C4r, C4v"
79,[1554_TJI_Grou] 069 Une Nonnain fut engrossée,n° 069,D’une Nonnain enceinte.,Une Nonnain fut engrossée,C4r
78,"[1554_TJI_Grou] 070 L’oyseau, qui a sur tous le vol hautain",n° 070,"D’une Damoyselle apellée l’Oyseau, par D. B.","L’oyseau, qui a sur tous le vol hautain","C4r, C4v"
77,"[1554_TJI_Grou] 071 Sur tous desirs je ne quiers rien, que d’estre",n° 071,D’elle mesme encor’ par le susdit.,"Sur tous desirs je ne quiers rien, que d’estre",C4v
76,"[1554_TJI_Grou] 072 Quand on est sain, et qu’il fait chault",n° 072,"De Guillaume, par M. G.","Quand on est sain, &amp; qu’il fait chault","C4v, C5r"
75,[1554_TJI_Grou] 073 Par la douceur qu’on void de toutes pars,n° 073,"D’une Damoyselle, nommée Marce de Grand-met, par D. B.",Par la douceur qu’on void de toutes pars,"C5r, C5v"
74,[1554_TJI_Grou] 074 D’un taint vermeil plus n’est ta face painte,n° 074,"À une qui avoit les palles couleurs, par D. B.",D’un taint vermeil plus n’est ta face painte,C5v
73,[1554_TJI_Grou] 075 Ainsi qu’Archers d’une assemblée grande,n° 075,S. R. de soy mesme.,Ainsi qu’Archers d’unɇ assemblée grande,"C5v, C6r"
72,[1554_TJI_Grou] 076 Claudine me maudit tousjours,n° 076,"De Claudine, par S. R.",Claudine me maudit tousjours,C6r
71,[1554_TJI_Grou] 077 Nostre Thraso demy quart de noblet,n° 077,"D’un Glorieux faisant du Gentilhomme, par L. D.",Nostre Thraso demy quart de noblet,"C6r, C6v"
