,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
0,Identifiant,Rang,Titre de la pièce,Incipit non modernisé,Foliotation
169,[1554_Tradlatfr_Grou] 001 Tant que voudras jetter feu et fumée,n° 001,A Estienne Dolet.,Tant que voudras jetter feu &amp; fumée,"A2r, A2v"
168,[1554_Tradlatfr_Grou] 002 C'est grand cas que nostre voysin,n° 002,D'un Lymosin.,C'est grand cas que nostre voysin,A2v
167,[1554_Tradlatfr_Grou] 003 S'on nous laissoit noz jours en paix user,n° 003,A F. Rabelais. ,S'on nous laissoit noz jours en paix user,"A2v, A3r"
166,"[1554_Tradlatfr_Grou] 004 Au curé, ainsi comme il dit",n° 004,Du Curé. Imitation.,"Au curé, ainsi comme il dit","A3r, A3v"
165,[1554_Tradlatfr_Grou] 005 Si la queuë ay coupée,n° 005,"Responce pour le Roy de Navarre à ma Dame d'Orsonvilliers, du Huictain J'ay joué rondement, par C. Marot.",Si la queuë ay coupée,A3v
164,"[1554_Tradlatfr_Grou] 006 Ce nouvel an, Françoys, ou grace abonde",n° 006,Au Roy Françoys pour estrenes.,"Ce nouvel an, Françoys, ou gracɇ abonde","A3v, A4r"
163,[1554_Tradlatfr_Grou] 007 Si le Roy seul sans aucun y commettre,n° 007,"Au Roy encores, pour estre remis en son estat.",Si le Roy seul sans aucun y commettre,A4r
162,[1554_Tradlatfr_Grou] 008 Me souvenant de tes graces divines,n° 008,C. Marot à L. D. D. F. L. Luy estant en Italie. Sonnet. ,Me souvenant de tes graces divines,"A4r, A4v"
161,"[1554_Tradlatfr_Grou] 009 Frere Thibaut, pour souper en quaresme",n° 009,De frere Thibaud.,"Frere Thibaut, pour souper en quaresme",A4v
160,"[1554_Tradlatfr_Grou] 010 Le cours du ciel, qui domine icy bas",n° 010,De l'an 1544.,"Le cours du ciel, qui domine icy bas","A4v, A5r"
159,[1554_Tradlatfr_Grou] 011 Un usurier à la teste pelée,n° 011,"D'un Usurier, pris du latin. ",Un usurier à la teste pelée,A5r
158,[1554_Tradlatfr_Grou] 012 Un advocat jouoit contre sa femme,n° 012,D'un Advocat jouant contre sa femme &amp; de son Clerc.,Un advocat jouoit contre sa femme,"A5r, A5v"
157,[1554_Tradlatfr_Grou] 013 Un lieutenant vuidoit plus voluntiers,n° 013,Du Lieutenant de B.,Un lieutenant vuidoit plus voluntiers,A5v
156,[1554_Tradlatfr_Grou] 014 Le Moyne un jour jouant sus la riviere,n° 014,D'un Moyne & d'une Vieille.,Le Moyne un jour jouant sus la riviere,"A5v, A6r"
155,[1554_Tradlatfr_Grou] 015 T'esbahis tu dont point son ne sopire,n° 015,"D'un Orgueilleux emprisonné, pris du latin. ",T'esbahis tu dont point son ne sopire,A6r
154,[1554_Tradlatfr_Grou] 016 Ces jours passez je fu chez la Normande,n° 016,D'Annette & Marguerite.,Ces jours passez je fu chez la Normande,A6r
153,[1554_Tradlatfr_Grou] 017 Veux tu vieille ridée entendre,n° 017,A une Vieille pris sur ce vers. Non gaudet veteri sanguine mollis amor.,Veux tu vieille rideɇ entendre,A6v
152,[1554_Tradlatfr_Grou] 018 Celuy qui dit bon ton tetin,n° 018,Du tetin de Cataut.,Celuy qui dit bon ton tetin,A6v
151,[1554_Tradlatfr_Grou] 019 Messire Jan confesseur de fillettes,n° 019,De messire Jan confessant Janne la simple. ,Messire Jan confesseur de fillettes,"A6v, A7r"
150,[1554_Tradlatfr_Grou] 020 Un Cordelier d'une assez bonne mise,n° 020,D'un Cordelier.,Un Cordelier d'unɇ assez bonne mise,"A7r, A7v"
149,[1554_Tradlatfr_Grou] 021 L'autre jour un amant disoit,n° 021,D'un Amoureux &amp; de s'Amye.,L'autre jour un amant disoit,A7v
148,"[1554_Tradlatfr_Grou] 022 Ma dame, je vous remercie",n° 022,"A une Dame de Piemont, qui refusa six escuz de Marot pour coucher avec elle &amp; en vouloit avoir dix.","Ma dame, je vous remercie",A7v
147,[1554_Tradlatfr_Grou] 023 Patroclus fut d'Achilles regretté,n° 023,"Epitaphe de feu messire Artus Gouffier Grand Maistre de France, pris du grec de Lascaris.",Patroclus fut d'Achilles regretté,A8r
146,[1554_Tradlatfr_Grou] 024 Souz ceste tumbe cy,n° 024,"Epitaphe de Philipe, mere dudit Seigneur Grand Maistre, pris du grec de Cinerius. ",Souz ceste tumbe cy,"A8r, A8v"
145,[1554_Tradlatfr_Grou] 025 Le petit Pierre eut du juge option,n° 025,Du petit Pierre & de son proces en matiere de mariage. ,Le petit Pierrɇ eut du jugɇ option,A8v
144,[1554_Tradlatfr_Grou] 026 Nanny desplaist et cause grand soucy,n° 026,De Nanny.,Nanny desplaist & cause grand soucy,"A8v, B1r"
