,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
0,Identifiant,Rang,Titre de la pièce,Incipit non modernisé,Foliotation
120,[1559_Poesiefac_Rigaud] 001 Voicy ami si tu le veux savoir,n° 001,"Traduction d’un Epigrame de Martial commencant, vitam qui faciunt beatricem, par Clement Marot.",Voicy amy si tu le veux savoir,A2r
119,[1559_Poesiefac_Rigaud] 002 Biens successifz et non acquis à peine,n° 002,"Autre, par l’esleu Macault.",Biens successifz &amp; non acquis à peine,A2v
118,[1559_Poesiefac_Rigaud] 003 Puis que de vous j’ay apprins les eschez,n° 003,Les Eschez.,Puis que de vous j’ay apprins les eschez,"A2v, A3r"
117,"[1559_Poesiefac_Rigaud] 004 Homme ne fuys, oyseau, poisson&nbsp;: mais beste",n° 004,Enigme.,"Homme ne fuys, oyseau, poisson&nbsp;: mais beste",A3r
116,[1559_Poesiefac_Rigaud] 005 Un bon esprit quand le beau jour l’esveille,n° 005,Compte nouveau.,Un bon esprit quand le beau jour l’esveille,"A3v, A4r, A4v, A5r"
115,[1559_Poesiefac_Rigaud] 006 François le franc qui des francs chois,n° 006,"Genealogie des Roys de France, par le Seigneur des Essars.",François le franc qui des francs chois,"A5v, A6r"
114,[1559_Poesiefac_Rigaud] 007 Trois compaignons de basle bien en ordre,n° 007,Autre Enigme.,Trois compaignons de basle bien en ordre,"A6r, A6v"
113,"[1559_Poesiefac_Rigaud] 008 On veit jadis suppostz de ma facture,",n° 008,Balade de science qui se complaint estre au jourd’huy vilipendée.,On veit jadis suppostz de ma facture,"A6v, A7r"
112,[1559_Poesiefac_Rigaud] 009 Belle excedant la doulceur angelique,n° 009,Aultre Balade.,Belle excedant la doulceur angelique,"A7v, A8r"
111,[1559_Poesiefac_Rigaud] 010 Qui voudra veoir en un corps bien unies,n° 010,"Description des graces & beautez recueillies par un Amant, au corps & habillemens de sa Dame.",Qui voudra veoir en un corps bien unies,"A8r, A8v, B1r"
110,[1559_Poesiefac_Rigaud] 011 Cheveux seul remede et confort,n° 011,Blason des cheveux.,Cheveux seul remede &amp; confort,"B1r, B1v, B2r"
109,[1559_Poesiefac_Rigaud] 012 Dequoy sert il avoir maison sans porte&nbsp;?,n° 012,Du cloistre de la langue.,Dequoy sert il avoir maison sans porte,B2r
108,"[1559_Poesiefac_Rigaud] 013 Ne pourrois tu mon œil, un petit t’engarder",n° 013,"Le cœur reprend l’œil de regard trop vollaige, vers Alexandrins.","Ne pourrois tu mon œil, un petit t’engarder","B2r, B2v"
107,[1559_Poesiefac_Rigaud] 014 Ce que par bouche mon cœur ne vous peut dire,n° 014,Le soulas ou dur depart de son alliance.,Ce que par bouche mon cœur ne vous peut dire,"B2v, B3r, B3v"
106,[1559_Poesiefac_Rigaud] 015 Fureur vient apres patience,n° 015,A un superbe Detracteur.,Fureur vient apres patience,"B3v, B4r"
105,"[1559_Poesiefac_Rigaud] 016 Scais tu dequoy, depuis sept ans je vis",n° 016,A un Amy ingrat.,"Scais tu dequoy, depuis sept ans je vis","B4r, B4v, B5r"
104,"[1559_Poesiefac_Rigaud] 017 Il me desplaist, madame, que mon sort",n° 017,Epistre d’un Gentilhomme à une Dame en prenant congé d’elle.,"Il me desplaist, madame, que mon sort","B5r, B5v, B6r"
103,"[1559_Poesiefac_Rigaud] 018 Aristippus, philosophe approuvé",n° 018,"A monsieur de Bœssieux, Abbé de Saint Pierre de Vienne.","Aristippus, philosophe approuvé","B6r, B6v, B7r, B7v"
102,"[1559_Poesiefac_Rigaud] 019 Hayne et amour, ont assally mon cœur",n° 019,De hayne &amp; amour.,"Hayne &amp; amour, ont assally mon cœur","B7v, B8r"
101,[1559_Poesiefac_Rigaud] 020 L’Oeil abaissé sur face exténuée,n° 020,Douleur &amp; Volupté.,L’œil abaissé sur face exténuée,"B8r, B8v, C1r, C1v, C2r, C2v, C3r, C3v, C4r, C4v"
100,[1559_Poesiefac_Rigaud] 021 En me taisant mon mal je dis assez,n° 021,Pas de titre,En me taisant mon mal je dis assez,C4v
99,"[1559_Poesiefac_Rigaud] 022 Coeur prisonnier, je le vous disois bien",n° 022,Rondeau.,"Cœur prisonnier, je le vous disois bien",C5r
98,[1559_Poesiefac_Rigaud] 023 La nuit passee une dame discrette,n° 023,Rondeau.,La nuict passee une dame discrette,"C5r, C5v"
97,[1559_Poesiefac_Rigaud] 024 Pauvres Barbiers bien estes morfonduz,n° 024,Rondeau des Barbiers.,Pauvres Barbiers bien estes morfonduz,C5v
96,[1559_Poesiefac_Rigaud] 025 En beau papier je say tant bien signer,n° 025,Rondeau.,En beau papier je sçay tant bien signer,"C5v, C6r"
95,"[1559_Poesiefac_Rigaud] 026 Umbre je suis sans cœur, corps, ne visage",n° 026,Rondeau d’umbre.,"Umbre je suis sans cœur, corps, ne visage","C6r, C6v"
94,[1559_Poesiefac_Rigaud] 027 Un mal sur mal (dit on) n’est pas santé,n° 027,"Rondeau, Mal sur mal estre santé.",Un mal sur mal (dit on) n’est pas santé,C6v
93,[1559_Poesiefac_Rigaud] 028 D’estre content sans vouloir d’avantaige,n° 028,"Rondeau, Chascun soit content de ses biens, qui n’a suffisance il n’a riens.",D’estre content sans vouloir d’avantaige,"C6v, C7r"
92,"[1559_Poesiefac_Rigaud] 029 Honneur te guide, et te met en hautesse",n° 029,Rondeau sur la devise de Salet varlet de chambre du Roy.,"Honneur te guide, &amp; te met en hautesse",C7r
91,[1559_Poesiefac_Rigaud] 030 Pour vostre amour et mon cœur supporter,n° 030,Rondeau.,Pour vostre amour &amp; mon cœur supporter,"C7r, C7v"
90,[1559_Poesiefac_Rigaud] 031 En attendant quelque responce avoir,n° 031,Rondeau.,En attendant quelque responce avoir,C7v
89,[1559_Poesiefac_Rigaud] 032 Soubz ce tombeau gist une sepulture,n° 032,Epitaphe.,Soubz ce tombeau gist une sepulture,C8r
88,[1559_Poesiefac_Rigaud] 033 On à (monsieur) de moy mesdit,n° 033,D’un qui medisoit d’un autre en son absence.,On à (monsieur) de moy mesdit,C8r
87,"[1559_Poesiefac_Rigaud] 034 Maistre d’hostel, c’est la maniere",n° 034,"Du Maistre d’ostel de monsieur de Boessieux, qui detractoit d’autruy.","Maistre d’hostel, c’est la maniere",C8v
86,"[1559_Poesiefac_Rigaud] 035 L’homme prudent, vertueux et bien saige",n° 035,Dizain.,"L’homme prudent, vertueux &amp; bien saige",C8v
85,[1559_Poesiefac_Rigaud] 036 Le vin qui trop cher m’est vendu,n° 036,Autre.,Le vin qui trop cher m’est vendu,"C8v, D1r"
84,[1559_Poesiefac_Rigaud] 037 Baiser souvent n’esse pas grant plaisir&nbsp;?,n° 037,Autre.,Baiser souvent n’esse pas grant plaisir,D1r
83,[1559_Poesiefac_Rigaud] 038 Les Cerf en rup pour les biches se battent,n° 038,Autre Dizain.,Les Cerfz en rup pour les biches se battent,"D1r, D1v"
82,[1559_Poesiefac_Rigaud] 039 Le plus grand mal et le plus dangereux,n° 039,Dizain.,Le plus grand mal &amp; le plus dangereux,D1v
81,"[1559_Poesiefac_Rigaud] 040 Amour n’est pas un Dieu, c’est un magicien",n° 040,Contre amour.,"Amour n’est pas un Dieu, c’est un magicien",D1v
80,[1559_Poesiefac_Rigaud] 041 J’appercoy bien qu’amour est de nature estrange,n° 041,Dizain.,J’appercoy bien qu’amour est de nature estrange,D2r
79,[1559_Poesiefac_Rigaud] 042 Qu’en dites vous royal filz de Venus,n° 042,Contre les Mesdisans de l’amour.,Qu’en dites vous royal filz de Venus,D2r
78,[1559_Poesiefac_Rigaud] 043 Puis qu’amour est le Dieu qui fait aymer,n° 043,Dizain d’amours.,Puis qu’amour est le Dieu qui fait aymer,D2v
77,[1559_Poesiefac_Rigaud] 044 Un bollanger (d’une si gente paste),n° 044,Dizain.,Un bollanger (d’une si gente paste),D2v
76,[1559_Poesiefac_Rigaud] 045 Tousjours le feu cherche à se faire veoir,n° 045,Dizain au Roy.,Tousjours le feu cherche à se faire veoir,"D2v, D3r"
75,[1559_Poesiefac_Rigaud] 046 Force d’amour me veut souvent contraindre,n° 046,Dizain de n’oser descouvrir son affection.,Force d’amour me veut souvent contraindre,D3r
74,[1559_Poesiefac_Rigaud] 047 Si pour changer tant souvent de couleur,n° 047,Dizain d’un Jaloux de s’Amye.,Si pour changer tant souvent de couleur,"D3r, D3v"
73,[1559_Poesiefac_Rigaud] 048 Je m’estois paint à quelque personnage,n° 048,D’un qui avoit revelé son secret.,Je m’estois plaint à quelque personnage,D3v
72,[1559_Poesiefac_Rigaud] 049 Pour satisfaire à la branche promise,n° 049,Dizain pour un rameau de Pasques Fleuries.,Pour satisfaire à la branche promise,"D3v, D4r"
71,"[1559_Poesiefac_Rigaud] 050 Asçavoir mon, si j’avois entrepris",n° 050,De ne desister de poursuyvre son entreprise.,"A sçavoir mon, si j’avois entrepris",D4r
70,[1559_Poesiefac_Rigaud] 051 Gentil muguet qui tant avez de bave,n° 051,A un Brave qui menaçoit chacun.,Gentil muguet qui tant avez de bave,D4r
69,[1559_Poesiefac_Rigaud] 052 Dame vous avez beau maintien,n° 052,D’une qui contentoit ses Servans de parolle.,Dame vous avez beau maintien,D4v
68,"[1559_Poesiefac_Rigaud] 053 Pres d’un orfevre, un jeune gentilhomme",n° 053,Amour est mal asseuré sans argent.,"Pres d’un orfevre, un jeune gentilhomme",D4v
67,[1559_Poesiefac_Rigaud] 054 Le messagier qui de vous m’est venu,n° 054,Dizain d’un ayant ouy nouvelle de la malladie de s’Amye.,Le messagier qui de vous m’est venu,"D4v, D5r"
66,[1559_Poesiefac_Rigaud] 055 Un pelerin que les Turcs avoient pris,n° 055,Dizain.,Un pelerin que les Turcs avoient pris,D5r
65,[1559_Poesiefac_Rigaud] 056 Monsieur fringuoit sa chambriere,n° 056,Dizain.,Monsieur fringuoit sa chambriere,"D5r, D5v"
64,"[1559_Poesiefac_Rigaud] 057 Meurs en conseil, en armes redoutable",n° 057,A monsieur le Connestable.,"Meur en conseil, en armes redoutable",D5v
63,[1559_Poesiefac_Rigaud] 058 Je n’ose pas (monseigneur) vous presser,n° 058,Dizain.,Je n’ose pas (monseigneur) vous presser,D5v
62,[1559_Poesiefac_Rigaud] 059 Monsieur coullaut voulut un jour entrer,n° 059,Dizain.,Monsieur coullaut voulut un jour entrer,D6r
61,[1559_Poesiefac_Rigaud] 060 Un mary se voulant coucher,n° 060,Dizain.,Un mary se voulant coucher,D6r
60,[1559_Poesiefac_Rigaud] 061 Anne l’autre hyer me jecta de la neige,n° 061,Dizain.,Anne l’autre hyer me jecta de la neige,"D6r, D6v"
59,[1559_Poesiefac_Rigaud] 062 Robin mangeoit un quignon de pain bis,n° 062,Dizain.,Robin mangeoit un quignon de pain bis,D6v
58,[1559_Poesiefac_Rigaud] 063 Un jour Robin vint Margot empoigner,n° 063,Dizain.,Un jour Robin vint Margot empoigner,"D6v, D7r"
57,[1559_Poesiefac_Rigaud] 064 Une nonnain tresbelle et en bon point,n° 064,Dizain.,Une nonnain tresbelle &amp; en bon point,D7r
56,[1559_Poesiefac_Rigaud] 065 En devisant à la belle Cathin,n° 065,Dizain.,En devisant à la belle Cathin,D7r
55,[1559_Poesiefac_Rigaud] 066 Mars et Venus furent tous deux surpris,n° 066,Dizain.,Mars &amp; Venus furent tous deux surpris,"D7r, D7v"
54,[1559_Poesiefac_Rigaud] 067 Nostre amytié est seulement,n° 067,Dizain.,Nostre amytié est seulement,D7v
